R3_zm3_80step_20to300_sqrt_TW_freq 	 R3_zm3_80step_20to300_amp 	 R3_zm3_80step_20to300_amp_sigma 	 R3_zm3_80step_20to300_theta 	 R3_zm3_80step_20to300_theta_sigma 	 R3_zm3_80step_20to300_DCV 	 R3_zm3_80step_20to300_DCV_sigma 	 R3_zm3_80step_20to300_decay_ratio 
4.47213595E+0	1.32783740E-3	5.26462550E-7	-2.72395963E+0	1.25228765E-4	0.00000000E+0	0.00000000E+0	-5.12633754E+0
4.62825748E+0	1.26238102E-3	6.40022549E-8	-2.75776360E+0	6.20974060E-6	0.00000000E+0	0.00000000E+0	-5.14257520E+0
4.78437901E+0	1.19769474E-3	6.36163559E-8	-2.79083031E+0	3.79705276E-5	0.00000000E+0	0.00000000E+0	-5.16200038E+0
4.94050054E+0	1.13630125E-3	4.56823698E-8	-2.82306320E+0	1.98445179E-4	0.00000000E+0	0.00000000E+0	-5.18251016E+0
5.09662206E+0	1.08301436E-3	3.57912022E-8	-2.85503055E+0	6.97517131E-6	0.00000000E+0	0.00000000E+0	-5.19942907E+0
5.25274359E+0	1.02851114E-3	1.36691725E-7	-2.88563077E+0	4.18663730E-5	0.00000000E+0	0.00000000E+0	-5.22089249E+0
5.40886512E+0	9.79197750E-4	9.63950187E-8	-2.91760428E+0	1.09063530E-4	0.00000000E+0	0.00000000E+0	-5.24073765E+0
5.56498665E+0	9.32162968E-4	7.88305246E-8	-2.94852126E+0	1.25147200E-5	0.00000000E+0	0.00000000E+0	-5.26150832E+0
5.72110817E+0	8.87928862E-4	3.97571238E-8	-2.97642673E+0	1.76050056E-4	0.00000000E+0	0.00000000E+0	-5.28245641E+0
5.87722970E+0	8.47015385E-4	1.36685743E-8	-3.00568986E+0	5.28659994E-5	0.00000000E+0	0.00000000E+0	-5.30270619E+0
6.03335123E+0	8.07863138E-4	7.60531734E-8	-3.03489397E+0	3.38617120E-5	0.00000000E+0	0.00000000E+0	-5.32381528E+0
6.18947275E+0	7.70296433E-4	3.21656176E-8	-3.06183937E+0	1.14278234E-4	0.00000000E+0	0.00000000E+0	-5.34588523E+0
6.34559428E+0	7.36749695E-4	3.92907551E-8	-3.09056931E+0	1.79268358E-5	0.00000000E+0	0.00000000E+0	-5.36550159E+0
6.50171581E+0	7.02500051E-4	2.24516173E-8	-3.11760573E+0	1.91241219E-5	0.00000000E+0	0.00000000E+0	-5.38879897E+0
6.65783734E+0	6.71756247E-4	8.70063358E-9	3.13829494E+0	1.08476516E-5	0.00000000E+0	0.00000000E+0	-5.40982030E+0
6.81395886E+0	6.42512711E-4	2.32896156E-8	3.11230424E+0	2.44644294E-5	0.00000000E+0	0.00000000E+0	-5.43115068E+0
6.97008039E+0	6.14517163E-4	1.07996271E-8	3.08722205E+0	4.89774652E-5	0.00000000E+0	0.00000000E+0	-5.45304694E+0
