timestamp,elapsed_time,Stage_X_um,Stage_Y_um,Stage_Z_um,R_V,Theta_deg,Frequency_Hz
2026-02-12T17:58:21.312208,0.008262100000138162,0.0,115.9,-0.9,5.9220687945e-06,-29.823049545,31.996271133
2026-02-12T17:58:22.315743,1.011919200000193,0.0,115.9,-0.9,5.9597646214e-06,-30.31288147,31.999746323
2026-02-12T17:58:23.313955,2.01067890000013,0.0,115.9,-0.9,6.0033453337e-06,-30.755044937,31.996492386
2026-02-12T17:58:24.312053,3.0089578999995865,0.0,115.9,-0.9,6.0502011365e-06,-31.153207779,31.999753952
2026-02-12T17:58:25.314936,4.011441700000432,0.0,115.9,-0.9,6.100029168e-06,-31.518514633,31.999832153
2026-02-12T17:58:26.312645,5.009143100000074,0.0,115.9,-0.9,6.1501700657e-06,-31.854625702,31.999704361
2026-02-12T17:58:27.315102,6.01144800000111,0.0,115.9,-0.9,6.1991449911e-06,-32.18680954,31.999879837
2026-02-12T17:58:28.312629,7.0092012000004615,0.0,115.9,-0.9,6.2454569161e-06,-32.522705078,31.999834061
2026-02-12T17:58:29.314743,8.01178390000132,0.0,115.9,-0.9,6.2902545324e-06,-32.880744934,31.999740601
2026-02-12T17:58:30.312221,9.008634699999675,0.0,115.9,-0.9,6.3317916101e-06,-33.246364594,31.999809265
2026-02-12T17:58:31.314022,10.01031900000089,0.0,115.9,-0.9,6.369329185e-06,-33.62021637,31.998060226
2026-02-12T17:58:32.314895,11.01054380000096,0.0,115.9,-0.9,6.404045962e-06,-34.013187408,31.999843597
2026-02-12T17:58:33.313790,12.010959200000798,0.0,115.9,-0.9,6.4378145908e-06,-34.422447205,31.999809265
2026-02-12T17:58:34.314368,13.010882700000366,0.0,115.9,-0.9,6.4680425567e-06,-34.817058563,31.999732971
2026-02-12T17:58:35.313444,14.009709699999803,0.0,115.9,-0.9,6.4929522523e-06,-35.179420471,32.003612518
2026-02-12T17:58:36.313659,15.009626200000639,0.0,115.9,-0.9,6.5160875238e-06,-35.487766266,32.00202179
2026-02-12T17:58:37.314308,16.01011020000078,0.0,115.9,-0.9,6.5381204877e-06,-35.743175507,31.99987793
2026-02-12T17:58:38.316024,17.01232610000079,0.0,115.9,-0.9,6.5613216975e-06,-35.924297333,31.999681473
2026-02-12T17:58:39.311717,18.00896130000001,0.0,115.9,-0.9,6.5847821134e-06,-36.037563324,31.998220444
2026-02-12T17:58:40.313660,19.010505000000194,0.0,115.9,-0.9,6.605737326e-06,-36.125965118,31.999786377
2026-02-12T17:58:41.313974,20.010735900001237,0.0,115.9,-0.9,6.6230063567e-06,-36.215957642,31.999835968
2026-02-12T17:58:42.313172,21.009001200000057,0.0,115.9,-0.9,6.6394422902e-06,-36.305473328,31.999746323
2026-02-12T17:58:43.314203,22.010718700001235,0.0,115.9,-0.9,6.6547445385e-06,-36.387107849,31.999818802
2026-02-12T17:58:44.315599,23.011725899999874,0.0,115.9,-0.9,6.6674683694e-06,-36.45149231,31.997772217
2026-02-12T17:58:45.313092,24.010082599999805,0.0,115.9,-0.9,6.6800384957e-06,-36.485473633,31.999763489
2026-02-12T17:58:46.311286,25.00876690000041,0.0,115.9,-0.9,6.6929183049e-06,-36.505161285,31.999738693
2026-02-12T17:58:47.311699,26.00893090000136,0.0,115.9,-0.9,6.7059218054e-06,-36.541374207,31.999828339
