z,theta_mean
-6.0,-15.155002816533331
-5.900000000000002,-15.861335627200003
-5.800000000000002,-14.666381422566664
-5.699999999999998,-16.27570616406667
-5.599999999999998,-14.975991185500002
-5.5,-15.675396347033335
-5.400000000000002,-19.0348457337
-5.300000000000002,-15.688695367166668
-5.199999999999998,-17.957903099133333
-5.099999999999999,-19.1894681294
-5.0,-17.091624641433334
-4.900000000000001,-14.94623390836667
-4.800000000000001,-16.57488578166667
-4.7,-15.1575178464
-4.599999999999999,-15.4489745458
-4.5,-15.934471893233336
-4.400000000000001,-16.725882244133334
-4.299999999999999,-15.860142644366668
-4.200000000000001,-14.015728982266666
-4.099999999999999,-17.1558423996
-4.0,-13.021373399166666
-3.900000000000001,-18.117134094233336
-3.799999999999999,-14.965109348233332
-3.700000000000001,-16.9739407858
-3.599999999999999,-15.614997927366664
-3.5,-14.221562862433334
-3.400000000000001,-13.283465417333332
-3.299999999999999,-14.744746875700002
-3.200000000000001,-18.457529195133336
-3.099999999999999,-12.89197371806667
-3.0,-12.333653926833334
-2.900000000000001,-16.12146921156667
-2.799999999999999,-17.8129464469
-2.700000000000001,-14.84153575896667
-2.599999999999999,-20.247721481300005
-2.5,-16.7744291306
-2.4000000000000004,-18.267717806466667
-2.2999999999999994,-18.6008894602
-2.2000000000000006,-17.4918082555
-2.1000000000000005,-18.085186640433335
-2.0,-20.730276044166665
-1.8999999999999995,-24.169673919733338
-1.7999999999999996,-26.763419787100005
-1.7000000000000004,-21.35398979196666
-1.6000000000000005,-27.72864971156667
-1.5,-23.01253674823333
-1.3999999999999995,-23.954449653666664
-1.2999999999999996,-27.30805155436667
-1.2000000000000002,-28.286676152566667
-1.1000000000000003,-27.944841066966664
-1.0,-28.016282463099994
-0.8999999999999998,-37.38973108936667
-0.8000000000000003,-27.99531129203334
-0.6999999999999997,-34.99875183096667
-0.6000000000000001,-31.943637466466665
-0.5,-30.206610171033336
-0.40000000000000013,-27.634306589766666
-0.30000000000000004,-35.1825974782
-0.20000000000000007,-32.059803517633334
-0.10000000000000003,-37.81745974226667
0.0,-34.589382108133336
0.10000000000000003,-33.95081768043334
0.20000000000000007,-35.84368324286667
0.30000000000000004,-37.3731461842
0.40000000000000013,-42.849496078466665
0.5,-37.67355473836667
0.6000000000000001,-36.68686650596668
0.6999999999999997,-38.48525594073333
0.8000000000000003,-31.326495297733334
0.8999999999999998,-34.5659784954
