timestamp,elapsed_time,Stage_X_um,Stage_Y_um,Stage_Z_um,R_V,Theta_deg,Frequency_Hz
2026-02-12T17:51:51.356874,0.010812299999088282,0.0,115.9,-0.3,5.9378417063e-06,-33.369289398,32.002723694
2026-02-12T17:51:52.365097,1.0193331999998918,0.0,115.9,-0.3,5.9625740505e-06,-33.241249084,31.999105453
2026-02-12T17:51:53.357063,2.010634399999617,0.0,115.9,-0.3,5.9794178924e-06,-33.122962952,31.99978447
2026-02-12T17:51:54.356831,3.011289999998553,0.0,115.9,-0.3,5.9882581809e-06,-33.01726532,31.999700546
2026-02-12T17:51:55.357280,4.011757899999793,0.0,115.9,-0.3,5.9895769482e-06,-32.922920227,32.002765656
2026-02-12T17:51:56.356545,5.010573599998679,0.0,115.9,-0.3,5.9843237068e-06,-32.865234375,31.99974823
2026-02-12T17:51:57.356066,6.009723999999551,0.0,115.9,-0.3,5.975660315e-06,-32.889316559,31.999843597
2026-02-12T17:51:58.355127,7.009278599998652,0.0,115.9,-0.3,5.9650260482e-06,-33.013069153,32.002983093
2026-02-12T17:51:59.357023,8.010839999999007,0.0,115.9,-0.3,5.954761491e-06,-33.226203918,31.999792099
2026-02-12T17:52:00.355660,9.009998300000007,0.0,115.9,-0.3,5.9480462369e-06,-33.498687744,31.999919891
2026-02-12T17:52:01.358767,10.012699699998848,0.0,115.9,-0.3,5.9446942942e-06,-33.806221008,31.999839783
2026-02-12T17:52:02.363188,11.017418499999621,0.0,115.9,-0.3,5.9443268583e-06,-34.134681702,31.999799728
2026-02-12T17:52:03.356867,12.011090399999375,0.0,115.9,-0.3,5.9449153014e-06,-34.470359802,31.999794006
2026-02-12T17:52:04.356774,13.011437399998613,0.0,115.9,-0.3,5.9453859649e-06,-34.80223465,31.999797821
2026-02-12T17:52:05.356645,14.01086739999846,0.0,115.9,-0.3,5.9447193053e-06,-35.109260559,32.000930786
2026-02-12T17:52:06.355643,15.010500799999136,0.0,115.9,-0.3,5.9445287661e-06,-35.370632172,31.999763489
2026-02-12T17:52:07.364476,16.01900519999981,0.0,115.9,-0.3,5.9448466345e-06,-35.587162018,31.999763489
2026-02-12T17:52:08.359282,17.013240700000097,0.0,115.9,-0.3,5.9433000388e-06,-35.752807617,31.999782562
2026-02-12T17:52:09.357916,18.011969599998338,0.0,115.9,-0.3,5.9436979427e-06,-35.884864807,31.999839783
2026-02-12T17:52:10.355929,19.009996499999033,0.0,115.9,-0.3,5.9473754845e-06,-35.996257782,31.999835968
2026-02-12T17:52:11.354861,20.008844599999065,0.0,115.9,-0.3,5.9547814999e-06,-36.071346283,32.002906799
2026-02-12T17:52:12.364972,21.01871519999986,0.0,115.9,-0.3,5.9643602981e-06,-36.122337341,31.999948502
2026-02-12T17:52:13.356999,22.010435700000016,0.0,115.9,-0.3,5.9714884628e-06,-36.164482117,31.999889374
2026-02-12T17:52:14.358607,23.012036099999023,0.0,115.9,-0.3,5.9770122789e-06,-36.211582184,31.998147964
2026-02-12T17:52:15.357474,24.01182389999849,0.0,115.9,-0.3,5.981582035e-06,-36.265007019,31.99993515
2026-02-12T17:52:16.357932,25.011357999999746,0.0,115.9,-0.3,5.986297765e-06,-36.312156677,31.999889374
2026-02-12T17:52:17.355074,26.0093057999984,0.0,115.9,-0.3,5.9905664784e-06,-36.309410095,32.003639221
2026-02-12T17:52:18.358787,27.012324199999057,0.0,115.9,-0.3,5.992953902e-06,-36.235271454,32.001804352
2026-02-12T17:52:19.358596,28.013117799999236,0.0,115.9,-0.3,5.9948501985e-06,-36.085979462,31.99974823
2026-02-12T17:52:20.356877,29.010256799998388,0.0,115.9,-0.3,5.9967719608e-06,-35.882381439,31.999856949
2026-02-12T17:52:21.356892,30.01074829999925,0.0,115.9,-0.3,5.997637345e-06,-35.665565491,31.999902725
2026-02-12T17:52:22.354054,31.0087470999988,0.0,115.9,-0.3,5.9947633417e-06,-35.447235107,31.999786377
2026-02-12T17:52:23.357758,32.01214289999916,0.0,115.9,-0.3,5.9900426095e-06,-35.224487305,31.998432159
2026-02-12T17:52:24.354967,33.00878219999868,0.0,115.9,-0.3,5.9867961681e-06,-34.967365265,31.99782753
2026-02-12T17:52:25.356652,34.01080419999926,0.0,115.9,-0.3,5.9866179072e-06,-34.691387177,31.998767853
2026-02-12T17:52:26.357199,35.01196579999851,0.0,115.9,-0.3,5.9876724663e-06,-34.427650452,32.00295639
2026-02-12T17:52:27.362621,36.01700059999894,0.0,115.9,-0.3,5.9900403357e-06,-34.196578979,31.999725342
2026-02-12T17:52:28.356469,37.0108481999996,0.0,115.9,-0.3,5.9925600908e-06,-34.025211334,31.999809265
2026-02-12T17:52:29.356637,38.01125389999834,0.0,115.9,-0.3,5.9922363107e-06,-33.92697525,31.999845505
2026-02-12T17:52:30.356149,39.01095819999864,0.0,115.9,-0.3,5.9870812947e-06,-33.903964996,31.999761581
2026-02-12T17:52:31.358395,40.01181859999997,0.0,115.9,-0.3,5.975753993e-06,-33.955093384,31.999557495
2026-02-12T17:52:32.362222,41.01696989999982,0.0,115.9,-0.3,5.9577823777e-06,-34.052822113,32.002883911
2026-02-12T17:52:33.357236,42.010934899999484,0.0,115.9,-0.3,5.9366643654e-06,-34.172843933,31.99978447
2026-02-12T17:52:34.354229,43.00865410000006,0.0,115.9,-0.3,5.9150170273e-06,-34.301799774,31.999868393
2026-02-12T17:52:35.357196,44.01152369999909,0.0,115.9,-0.3,5.8926975726e-06,-34.437961578,31.999820709
2026-02-12T17:52:36.356209,45.01099759999852,0.0,115.9,-0.3,5.8712848841e-06,-34.564296722,31.999771118
2026-02-12T17:52:37.364876,46.01887409999836,0.0,115.9,-0.3,5.85202406e-06,-34.684711456,31.999750137
2026-02-12T17:52:38.355946,47.009848699999566,0.0,115.9,-0.3,5.835333468e-06,-34.781448364,31.999856949
2026-02-12T17:52:39.357278,48.011405999999624,0.0,115.9,-0.3,5.819411399e-06,-34.877113342,31.999876022
2026-02-12T17:52:40.356822,49.01023769999847,0.0,115.9,-0.3,5.8062050812e-06,-35.0013237,31.999799728
2026-02-12T17:52:41.354989,50.00900219999858,0.0,115.9,-0.3,5.795294328e-06,-35.165687561,32.003570557
2026-02-12T17:52:42.366193,51.01964389999921,0.0,115.9,-0.3,5.784955647e-06,-35.376327515,31.999759674
2026-02-12T17:52:43.360315,52.01388339999903,0.0,115.9,-0.3,5.7754896261e-06,-35.620498657,32.000835419
2026-02-12T17:52:44.358216,53.01230459999897,0.0,115.9,-0.3,5.7662391555e-06,-35.889129639,32.00353241
2026-02-12T17:52:45.357707,54.01086249999935,0.0,115.9,-0.3,5.7550073507e-06,-36.174747467,31.999822617
2026-02-12T17:52:46.359148,55.01245079999899,0.0,115.9,-0.3,5.7411020862e-06,-36.49048233,31.999866486
2026-02-12T17:52:47.365610,56.01976849999846,0.0,115.9,-0.3,5.7276115513e-06,-36.82699585,31.999902725
2026-02-12T17:52:48.357681,57.01173629999903,0.0,115.9,-0.3,5.714611234e-06,-37.183837891,31.999876022
2026-02-12T17:52:49.357345,58.01083739999922,0.0,115.9,-0.3,5.7029778873e-06,-37.548336029,31.996124268
2026-02-12T17:52:50.356630,59.01081199999862,0.0,115.9,-0.3,5.6930839492e-06,-37.896045685,31.999912262
