timestamp,elapsed_time,Stage_X_um,Stage_Y_um,Stage_Z_um,R_V,Theta_deg,Frequency_Hz
2026-02-14T20:28:41.902149,0.012193400001706323,0.0,-25.9,-2.1,2.5841503884e-05,165.76611328,31.999734879
2026-02-14T20:28:42.899230,1.0098833000010927,0.0,-25.9,-2.1,2.6011766749e-05,165.86534119,31.999746323
2026-02-14T20:28:43.901821,2.012271300001885,0.0,-25.9,-2.1,2.6161007554e-05,165.96020508,31.999809265
2026-02-14T20:28:44.898974,3.0089835000035237,0.0,-25.9,-2.1,2.6288318622e-05,166.0526886,31.998445511
2026-02-14T20:28:45.900451,4.010696800000005,0.0,-25.9,-2.1,2.6395769964e-05,166.14231873,31.999361038
2026-02-14T20:28:46.901757,5.011883000002854,0.0,-25.9,-2.1,2.6483425245e-05,166.22587585,31.999847412
2026-02-14T20:28:47.901701,6.012276200002816,0.0,-25.9,-2.1,2.6555770091e-05,166.30075073,31.999860764
2026-02-14T20:28:48.898079,7.009641100001318,0.0,-25.9,-2.1,2.6617082767e-05,166.37002563,31.999843597
2026-02-14T20:28:49.900105,8.010637700001098,0.0,-25.9,-2.1,2.6668300052e-05,166.4306488,31.999879837
2026-02-14T20:28:50.899377,9.009759700002178,0.0,-25.9,-2.1,2.6709594749e-05,166.48014832,31.999782562
2026-02-14T20:28:51.898454,10.009109700000408,0.0,-25.9,-2.1,2.6741274269e-05,166.51679993,31.99984169
2026-02-14T20:28:52.899231,11.009946400001354,0.0,-25.9,-2.1,2.6764028007e-05,166.53936768,31.999736786
2026-02-14T20:28:53.900308,12.010739100001956,0.0,-25.9,-2.1,2.6779012842e-05,166.54716492,31.999807358
2026-02-14T20:28:54.900657,13.011399700000766,0.0,-25.9,-2.1,2.6788200557e-05,166.54075623,31.999881744
2026-02-14T20:28:55.904420,14.014204800001608,0.0,-25.9,-2.1,2.6789692129e-05,166.52778625,31.999794006
2026-02-14T20:28:56.901257,15.012472200000047,0.0,-25.9,-2.1,2.6785253795e-05,166.51242065,31.999820709
2026-02-14T20:28:57.900396,16.01070090000212,0.0,-25.9,-2.1,2.6776608138e-05,166.49342346,31.999881744
2026-02-14T20:28:58.899492,17.01036920000115,0.0,-25.9,-2.1,2.6762267225e-05,166.46867371,31.99993515
2026-02-14T20:28:59.900281,18.01085950000197,0.0,-25.9,-2.1,2.6745106879e-05,166.44288635,31.999568939
2026-02-14T20:29:00.898112,19.009171700003208,0.0,-25.9,-2.1,2.6727049772e-05,166.41268921,32.003128052
2026-02-14T20:29:01.898616,20.009235700003046,0.0,-25.9,-2.1,2.670928734e-05,166.38114929,31.999780655
2026-02-14T20:29:02.900783,21.011489500000607,0.0,-25.9,-2.1,2.6690971936e-05,166.34701538,31.999795914
2026-02-14T20:29:03.900735,22.0114293000006,0.0,-25.9,-2.1,2.6670273655e-05,166.3057251,31.999786377
2026-02-14T20:29:04.899357,23.010119100003067,0.0,-25.9,-2.1,2.6645662729e-05,166.26104736,31.9998703
2026-02-14T20:29:05.898128,24.00870980000036,0.0,-25.9,-2.1,2.6615593015e-05,166.21412659,31.999839783
2026-02-14T20:29:06.901148,25.01175830000284,0.0,-25.9,-2.1,2.6580697522e-05,166.16690063,31.999782562
2026-02-14T20:29:07.899947,26.01114530000268,0.0,-25.9,-2.1,2.6542031264e-05,166.12182617,31.999769211
2026-02-14T20:29:08.901695,27.012462500002584,0.0,-25.9,-2.1,2.6499032174e-05,166.07975769,31.99974823
