timestamp,elapsed_time,Stage_X_um,Stage_Y_um,Stage_Z_um,R_V,Theta_deg,Frequency_Hz
2026-02-17T18:59:35.087089,0.009060299998964183,12.15,79.6,2.4,8.048347766e-09,72.540870667,31.999937057
2026-02-17T18:59:36.088091,1.011101600000984,12.15,79.6,2.4,7.8835009631e-09,70.363517761,31.997406006
2026-02-17T18:59:37.088057,2.0100129999991623,12.15,79.6,2.4,7.7306454571e-09,67.979072571,31.999801636
2026-02-17T18:59:38.089058,3.0108118999996805,12.15,79.6,2.4,7.5802768507e-09,65.558662415,31.999750137
2026-02-17T18:59:39.089089,4.011387400001695,12.15,79.6,2.4,7.4337678235e-09,63.16904068,31.999893188
2026-02-17T18:59:40.091058,5.014060100002098,12.15,79.6,2.4,7.2955015362e-09,60.785079956,31.99990654
2026-02-17T18:59:41.088058,6.010736399999587,12.15,79.6,2.4,7.1788490708e-09,58.45042038,31.999816895
2026-02-17T18:59:42.087056,7.01014810000197,12.15,79.6,2.4,7.0941581498e-09,56.075618744,31.999876022
2026-02-17T18:59:43.089057,8.01086209999994,12.15,79.6,2.4,7.0319798873e-09,53.644607544,32.001171112
2026-02-17T18:59:44.088090,9.010845900000277,12.15,79.6,2.4,6.9831895821e-09,51.021007538,31.999734879
2026-02-17T18:59:45.089060,10.011232900000323,12.15,79.6,2.4,6.9468133468e-09,48.289821625,31.999818802
2026-02-17T18:59:46.087058,11.009835200002271,12.15,79.6,2.4,6.917737938e-09,45.327915192,31.99978447
2026-02-17T18:59:47.086089,12.00841550000041,12.15,79.6,2.4,6.8843752921e-09,42.255176544,31.997934341
2026-02-17T18:59:48.089090,13.011918100000912,12.15,79.6,2.4,6.8499264039e-09,39.055969238,31.99974823
2026-02-17T18:59:49.087058,14.009239900002285,12.15,79.6,2.4,6.8040271195e-09,35.941867828,31.999835968
2026-02-17T18:59:50.089089,15.01142080000136,12.15,79.6,2.4,6.746682768e-09,33.080997467,31.999809265
2026-02-17T18:59:51.087058,16.00901739999972,12.15,79.6,2.4,6.665401564e-09,30.515211105,31.999824524
2026-02-17T18:59:52.087057,17.0099360000022,12.15,79.6,2.4,6.5717564723e-09,28.231502533,31.999732971
2026-02-17T18:59:53.090092,18.011820700001408,12.15,79.6,2.4,6.4755769635e-09,26.239761353,31.999788284
2026-02-17T18:59:54.088059,19.010537000001932,12.15,79.6,2.4,6.3876339773e-09,24.457809448,31.999847412
2026-02-17T18:59:55.090058,20.01205590000245,12.15,79.6,2.4,6.3049787613e-09,22.849744797,32.00107193
