z,theta_mean_ratio
-6.0,-0.9372527071864316
-5.900000000000002,-0.9809354664037192
-5.800000000000002,-0.9070341892601363
-5.699999999999998,-1.0065619814336528
-5.599999999999998,-0.9261818325825147
-5.5,-0.9694361551981558
-5.400000000000002,-1.1771994311557232
-5.300000000000002,-0.9702586256901635
-5.199999999999998,-1.1105965138252871
-5.099999999999999,-1.1867619670863256
-5.0,-1.0570220051639727
-4.900000000000001,-0.924341510354314
-4.800000000000001,-1.0250645782279397
-4.7,-0.9374082478075536
-4.599999999999999,-0.9554332250277664
-4.5,-0.9854585380364388
-4.400000000000001,-1.0344028703375303
-4.299999999999999,-0.9808616870449354
-4.200000000000001,-0.8667949515317644
-4.099999999999999,-1.060993516645679
-4.0,-0.80529958439467
-3.900000000000001,-1.1204440660185904
-3.799999999999999,-0.9255088514184188
-3.700000000000001,-1.0497439126674046
-3.599999999999999,-0.9657008485784425
-3.5,-0.879524633192162
-3.400000000000001,-0.8215085192614241
-3.299999999999999,-0.911880657056169
-3.200000000000001,-1.1414956114187318
-3.099999999999999,-0.7972969331983454
-3.0,-0.7627679567181611
-2.900000000000001,-0.9970232830230458
-2.799999999999999,-1.1016317504151376
-2.700000000000001,-0.9178665116261377
-2.599999999999999,-1.252209056140993
-2.5,-1.037405225488314
-2.4000000000000004,-1.1297568318199203
-2.2999999999999994,-1.1503616471538167
-2.2000000000000006,-1.0817711378560793
-2.1000000000000005,-1.1184682935344636
-2.0,-1.2820523742773997
-1.8999999999999997,-1.494760019996169
-1.7999999999999996,-1.6551687883331132
-1.7000000000000004,-1.3206256035741437
-1.6000000000000003,-1.7148628953362999
-1.5,-1.4231975162009693
-1.3999999999999997,-1.4814495951506432
-1.2999999999999996,-1.6888512365959092
-1.2000000000000002,-1.7493737297347123
-1.1000000000000003,-1.7282331292829338
-1.0,-1.7326513826308048
-0.8999999999999998,-2.312347091499765
-0.8000000000000003,-1.7313544322380507
-0.6999999999999997,-2.1644783111444594
-0.6000000000000001,-1.9755364651048173
-0.5,-1.868110979619225
-0.4000000000000001,-1.70902829752184
-0.3,-2.175848142787506
-0.2,-1.9827206898296283
-0.1,-2.3387997317747233
0.0,-2.1391610686727445
0.1,-2.0996694073500657
0.2,-2.216732623649515
0.3,-2.3113214072782533
0.4000000000000001,-2.6500032159218003
0.5,-2.329900006969934
0.6000000000000001,-2.2688788228658305
0.6999999999999997,-2.3800992156770864
0.8000000000000003,-1.937369651454793
0.8999999999999998,-2.1377136852800915
