0122_z10um_100step_sqrt_TW_freq 	 0122_z10um_100step_amp 	 0122_z10um_100step_amp_sigma 	 0122_z10um_100step_theta 	 0122_z10um_100step_theta_sigma 	 0122_z10um_100step_DCV 	 0122_z10um_100step_DCV_sigma 	 0122_z10um_100step_decay_ratio 
7.89865417E+0	1.86608391E-5	3.53518653E-8	-7.65364444E-1	8.82052041E-4	0.00000000E+0	0.00000000E+0	-8.82239101E+0
8.09608011E+0	1.73959719E-5	1.69759346E-8	-8.01570178E-1	1.87882434E-3	0.00000000E+0	0.00000000E+0	-8.86789187E+0
8.29350605E+0	1.60221366E-5	3.25433212E-8	-8.43040634E-1	5.89109228E-4	0.00000000E+0	0.00000000E+0	-8.92606645E+0
8.49093199E+0	1.49256211E-5	1.75149904E-8	-8.36424795E-1	9.79602167E-5	0.00000000E+0	0.00000000E+0	-8.97343251E+0
8.68835794E+0	1.37981717E-5	1.32683669E-8	-8.64935872E-1	5.38693188E-4	0.00000000E+0	0.00000000E+0	-9.02899050E+0
8.88578388E+0	1.28572734E-5	1.27108046E-8	-8.93230353E-1	2.13982571E-4	0.00000000E+0	0.00000000E+0	-9.07714820E+0
9.08320982E+0	1.25524639E-5	5.41067045E-9	-8.94549650E-1	1.82119680E-3	0.00000000E+0	0.00000000E+0	-9.07916595E+0
9.28063576E+0	1.13812221E-5	1.00268731E-8	-9.57790380E-1	2.03595605E-3	0.00000000E+0	0.00000000E+0	-9.15561569E+0
9.47806170E+0	1.09642497E-5	2.41736773E-8	-9.45590011E-1	3.55538490E-5	0.00000000E+0	0.00000000E+0	-9.17189077E+0
9.67548764E+0	1.03725127E-5	9.76022701E-9	-9.83958942E-1	7.68358039E-4	0.00000000E+0	0.00000000E+0	-9.20675562E+0
9.87291358E+0	9.43759123E-6	2.30547691E-8	-1.02136951E+0	1.01484574E-3	0.00000000E+0	0.00000000E+0	-9.28101477E+0
1.01703408E+1	8.49488990E-6	4.06029070E-9	-1.04441058E+0	5.56884494E-4	0.00000000E+0	0.00000000E+0	-9.35657005E+0
